year,month,day,hour,minute,solar_global,solar_direct,solar_diff_down,pressure,temp,kw
2020,2,9,20,30,0.0,0.0,0.0,997.5417499999999,3.633470000000017,
2020,2,9,20,45,0.0,0.0,0.0,997.603425,3.638555000000011,
2020,2,9,21,0,0.0,0.0,0.0,997.6650999999999,3.643640000000005,
2020,2,9,21,15,0.0,0.0,0.0,997.6864,3.6255800000000136,
2020,2,9,21,30,0.0,0.0,0.0,997.7076999999999,3.6075200000000223,
2020,2,9,21,45,0.0,0.0,0.0,997.7289999999999,3.589460000000031,
2020,2,9,22,0,0.0,0.0,0.0,997.7503,3.5714000000000397,
2020,2,9,22,15,0.0,0.0,0.0,997.7161624999999,3.6029950000000355,
2020,2,9,22,30,0.0,0.0,0.0,997.682025,3.6345900000000313,
2020,2,9,22,45,0.0,0.0,0.0,997.6478875,3.666185000000027,
2020,2,9,23,0,0.0,0.0,0.0,997.61375,3.697780000000023,
2020,2,9,23,15,0.0,0.0,0.0,990.5862125,3.7693350000000265,
2020,2,9,23,30,0.0,0.0,0.0,983.5586749999999,3.84089000000003,
2020,2,9,23,45,0.0,0.0,0.0,976.5311375,3.9124450000000337,
2020,2,12,0,0,0.0,0.0,0.0,969.5036,3.9840000000000373,47.867222222222225
2020,2,12,0,15,0.0,0.0,0.0,969.505,3.8899750000000353,47.867222222222225
2020,2,12,0,30,0.0,0.0,0.0,969.5064,3.7959500000000332,47.867222222222225
2020,2,12,0,45,0.0,0.0,0.0,969.5078,3.701925000000031,47.867222222222225
2020,2,12,1,0,0.0,0.0,0.0,969.5092,3.607900000000029,47.867222222222225
2020,2,12,1,15,0.0,0.0,0.0,969.622125,3.588705000000033,47.867222222222225
2020,2,12,1,30,0.0,0.0,0.0,969.73505,3.5695100000000366,47.867222222222225
2020,2,12,1,45,0.0,0.0,0.0,969.847975,3.5503150000000403,47.867222222222225
2020,2,12,2,0,0.0,0.0,0.0,969.9608999999999,3.531120000000044,47.867222222222225
2020,2,12,2,15,0.0,0.0,0.0,970.264775,3.4049825000000453,47.867222222222225
2020,2,12,2,30,0.0,0.0,0.0,970.5686499999999,3.2788450000000466,47.867222222222225
2020,2,12,2,45,0.0,0.0,0.0,970.872525,3.152707500000048,47.867222222222225
2020,2,12,3,0,0.0,0.0,0.0,971.1764,3.0265700000000493,47.867222222222225
2020,2,12,3,15,0.0,0.0,0.0,971.46715,2.8812925000000433,47.867222222222225
2020,2,12,3,30,0.0,0.0,0.0,971.7579000000001,2.7360150000000374,47.867222222222225
2020,2,12,3,45,0.0,0.0,0.0,972.0486500000001,2.5907375000000314,47.867222222222225
2020,2,12,4,0,0.0,0.0,0.0,972.3394000000001,2.4454600000000255,47.867222222222225
2020,2,12,4,15,0.0,0.0,0.0,972.3503900000001,2.4054900000000288,47.867222222222225
2020,2,12,4,30,0.0,0.0,0.0,972.36138,2.365520000000032,47.867222222222225
2020,2,12,4,45,0.0,0.0,0.0,972.3723699999999,2.3255500000000353,47.867222222222225
